aod440,aod870,eae,ssa440,ssa870,aae,aae_sub,aae_sob,eae_sub,eae_sob,aod440_sub,aod440_sob,class,class_00,class_01,class_10,class_11,class_code
0.3033609393939395,0.1029621515151515,1.589248696969697,0.9359999999999999,0.8846499999999999,0.7209338836416992,,,1.4375331286168214,1.7409642653225728,0.2933609393939395,0.3133609393939395,3,9,9,9,9,BB
0.2253506,0.08621176,1.46366268,0.9523,0.916,0.5793673257713203,,,1.279430418028067,1.6478949419719333,0.2153506,0.23535060000000002,9,9,9,9,9,NC
0.3392659047619048,0.1165827619047619,1.573511047619047,0.9506,0.9289000000000001,1.0327515821956073,,,1.4404663232262558,1.7065557720118383,0.3292659047619048,0.34926590476190483,7,9,9,9,9,UI
0.7320642962962962,0.2181886666666667,1.773800888888888,0.8766000000000002,0.8318,1.3213453921836622,0.7034819699686363,1.939208814398688,1.7036484076658927,1.8439533701118835,0.7220642962962962,0.7420642962962962,9,9,9,9,9,NC
0.6801644375000001,0.20068159375,1.786258718750001,0.8690000000000001,0.8158666666666666,1.2910787333738842,,,1.710048556167231,1.862468881332771,0.6701644375000001,0.6901644375000001,9,9,9,9,9,NC
0.5552840000000001,0.2078088571428571,1.477740357142857,0.9074,0.8607333333333332,0.8431039901170378,,,1.4010853027982286,1.5543954114874852,0.5452840000000001,0.5652840000000001,3,9,9,9,9,BB
0.4987405945945947,0.170626081081081,1.595147432432432,0.8933333333333332,0.8332666666666667,0.9181569804982243,0.15542699691306483,1.6808869640833837,1.504285023326547,1.686009841538317,0.4887405945945947,0.5087405945945946,7,9,9,7,7,UI
0.5385542903225804,0.1622347741935484,1.759879709677419,0.90374,0.85002,1.1095411501918175,,,1.6648131388031358,1.8549462805517023,0.5285542903225804,0.5485542903225804,9,9,9,9,9,NC
0.7514871666666666,0.2184816279069768,1.812255558139535,0.93245,0.8993,1.226421884247719,,,1.7420385298943981,1.8824725863846719,0.7414871666666666,0.7614871666666666,9,9,9,9,9,NC
0.6413976341463413,0.1918045853658537,1.733961487804878,0.9071333333333333,0.8547666666666668,1.1148233101093077,,,1.6529986988186962,1.8149242767910596,0.6313976341463413,0.6513976341463413,9,9,9,9,9,NC
0.5598818372093023,0.1583317674418604,1.844574720930232,0.9032,0.841,1.1247691535946145,,,1.7481577902890086,1.9409916515714551,0.5498818372093023,0.5698818372093023,9,9,9,9,9,NC
0.9000140833333332,0.2363861891891892,1.956980621621621,0.9318500000000001,0.87905,1.1196373386764389,,,1.8922928628436109,2.021668380399631,0.8900140833333332,0.9100140833333332,9,9,9,9,9,NC
0.8883661199999997,0.2561576923076924,1.823808307692308,0.9459,0.928,1.4049183103929965,,,1.76419748666292,1.883419128721696,0.8783661199999997,0.8983661199999997,9,9,9,9,9,NC
1.228544333333333,0.3206048,1.9715403,0.94435,0.9258500000000001,1.549566425846159,,,1.9242544471543561,2.018826152845644,1.218544333333333,1.238544333333333,9,9,9,9,9,NC
2.447663461538462,0.6190228749999998,2.006909375,0.90625,0.8616999999999999,1.446276404128256,,,1.9824665764516263,2.0313521735483744,2.4376634615384623,2.457663461538462,9,9,9,9,9,NC
2.530002,0.7806826499999999,1.6946941,0.8954333333333334,0.8352333333333334,1.057769671837291,0.509226871739365,1.606312471935217,1.6750301763669535,1.7143580236330465,2.5200020000000003,2.540002,7,9,9,7,9,UI
0.5218258095238093,0.1760647619047619,1.587669476190476,0.9167,0.8828,1.0928977722488165,,,1.4994171835311843,1.6759217688497676,0.5118258095238093,0.5318258095238093,7,9,9,9,9,UI
0.2132374,0.08312440000000001,1.3924768,0.901,0.8575,0.8476309231814247,,,1.1989780931285978,1.5859755068714023,0.20323739999999998,0.2232374,3,9,9,9,9,BB
0.5571212631578947,0.1672288421052631,1.760521657894737,0.8852,0.81775,1.0872990348156701,0.38765673792773336,1.786941331703607,1.6683295616774312,1.8527137541120426,0.5471212631578947,0.5671212631578947,9,9,9,7,9,NC
